"Ticker","CurrentPrice","ATH","ATHDate","PercentageDiff","IsRecent","DaysSinceATH"
"AERT","2.25","10.98","24/10/2023 00:00:00","79.51","True","139"
"AESI","20.52","24.17","26/09/2023 00:00:00","15.10","True","167"
"AEL","55.57","55.89","28/12/2023 00:00:00","0.57","True","74"
"AEVA","1.34","20.00","10/02/2021 00:00:00","93.30","True","1125"
"AFAR","11.10","11.10","27/02/2024 00:00:00","0.00","True","13"
"AER","81.45","82.13","07/03/2024 00:00:00","0.83","True","4"
"AEMD","1.72","67,500.00","10/01/2000 00:00:00","100.00","True","8827"
"AEM","55.22","87.13","06/12/2010 00:00:00","36.62","True","4844"
"AFBI","16.85","17.15","14/02/2024 00:00:00","1.75","True","26"
"AEYE","8.03","43.67","11/02/2021 00:00:00","81.61","True","1124"
"AFCG","11.91","25.02","12/11/2021 00:00:00","52.40","True","850"
"AFGC","22.20","27.81","06/08/2021 00:00:00","20.17","True","948"
"AFGB","24.80","28.92","14/10/2021 00:00:00","14.25","True","879"
"AEO","22.06","37.87","23/04/2021 00:00:00","41.75","True","1053"
"AFGE","20.02","28.07","06/08/2021 00:00:00","28.68","True","948"
"AFJK","10.18","10.19","14/02/2024 00:00:00","0.10","True","26"
"AFJKR","0.23","0.23","07/03/2024 00:00:00","0.00","True","4"
"AFJKU","10.37","10.53","07/02/2024 00:00:00","1.48","True","33"
"AFIB","0.18","37.65","01/09/2020 00:00:00","99.51","True","1287"
"AFGD","23.67","29.56","09/11/2021 00:00:00","19.93","True","853"
"AFRIW","1.27","1.27","08/03/2024 00:00:00","0.00","True","3"
"AEP","84.17","105.18","12/09/2022 00:00:00","19.98","True","546"
"AFRM","38.74","168.52","04/11/2021 00:00:00","77.01","True","858"
"AEZS","1.94","170,625.00","16/06/2000 00:00:00","100.00","True","8669"
"AFRI","10.38","12.10","16/09/2022 00:00:00","14.21","True","542"
"AFB","10.99","17.02","03/10/2006 00:00:00","35.43","True","6369"
"AES","16.32","70.62","02/10/2000 00:00:00","76.89","True","8561"
"AGBAW","0.02","0.02","11/03/2024 00:00:00","0.00","True","0"
"AFYA","20.53","32.32","27/08/2019 00:00:00","36.48","True","1658"
"AGAE","0.96","10.81","24/06/2019 00:00:00","91.12","True","1722"
"AFMD","6.74","21.93","17/07/2015 00:00:00","69.29","True","3160"
"AGBA","0.40","11.65","03/11/2022 00:00:00","96.57","True","494"
"AFT","14.31","20.92","14/05/2013 00:00:00","31.58","True","3954"
"AGE","0.36","5.50","03/12/2018 00:00:00","93.45","True","1925"
