"Ticker","CurrentPrice","ATH","ATHDate","PercentageDiff","IsRecent","DaysSinceATH"
"AMRX","5.42","24.27","20/08/2018 00:00:00","77.65","True","2030"
"AMNB","47.28","50.55","27/12/2023 00:00:00","6.46","True","75"
"AMN","61.11","127.04","01/11/2022 00:00:00","51.90","True","496"
"AMRK","28.94","44.17","20/04/2022 00:00:00","34.48","True","691"
"AMPY","5.65","163.50","27/04/2012 00:00:00","96.54","True","4336"
"AMST","2.00","102.00","19/02/2021 00:00:00","98.04","True","1116"
"AMTD","1.71","60.54","05/08/2019 00:00:00","97.18","True","1680"
"AMRC","21.11","97.50","05/11/2021 00:00:00","78.35","True","857"
"AMTB","22.26","35.87","01/02/2022 00:00:00","37.94","True","769"
"AMWL","1.05","42.80","27/01/2021 00:00:00","97.55","True","1139"
"AMSF","52.73","76.26","20/02/2020 00:00:00","30.85","True","1481"
"AMTX","3.35","60.00","02/08/2006 00:00:00","94.41","True","6431"
"AMRN","0.94","1,375.00","09/07/1993 00:00:00","99.93","True","11203"
"AMSC","14.79","692.50","28/02/2000 00:00:00","97.86","True","8778"
"AMS","2.74","9.50","04/02/1992 00:00:00","71.18","True","11724"
"AMX","19.11","34.45","18/10/2007 00:00:00","44.54","True","5989"
"ANEB","2.95","8.95","21/05/2021 00:00:00","67.04","True","1025"
"AMT","206.80","303.62","08/09/2021 00:00:00","31.89","True","915"
"ANAB","24.52","128.55","02/03/2018 00:00:00","80.92","True","2201"
"ANGHW","0.04","0.04","07/03/2024 00:00:00","0.00","True","4"
"ANGH","0.94","28.88","17/02/2022 00:00:00","96.75","True","753"
"ANET","268.55","287.94","04/03/2024 00:00:00","6.74","True","7"
"AMSWA","11.16","32.74","09/11/2021 00:00:00","65.91","True","853"
"AMZN","173.71","186.57","08/07/2021 00:00:00","6.89","True","977"
"ANGI","2.71","28.00","05/07/2013 00:00:00","90.34","True","3902"
"AMWD","96.25","140.05","25/01/2018 00:00:00","31.27","True","2237"
"ANL","7.65","15.00","29/09/2023 00:00:00","49.00","True","164"
"AN","149.10","181.47","19/07/2023 00:00:00","17.84","True","236"
"ANRO","13.76","21.80","05/02/2024 00:00:00","36.88","True","35"
"ANSC","10.16","10.16","08/03/2024 00:00:00","0.00","True","3"
"ANSCU","10.23","10.24","22/01/2024 00:00:00","0.10","True","49"
"ANGO","5.69","31.07","28/04/2006 00:00:00","81.69","True","6527"
"ANNX","5.01","35.01","16/03/2021 00:00:00","85.69","True","1091"
"ANTX","2.92","22.29","15/08/2022 00:00:00","86.89","True","574"
"ANVS","8.93","120.97","13/07/2021 00:00:00","92.62","True","972"
"ANDE","54.50","69.38","08/09/2014 00:00:00","21.45","True","3472"
"AOGOW","0.03","0.03","11/03/2024 00:00:00","0.00","True","0"
"ANF","116.37","139.95","05/03/2024 00:00:00","16.85","True","6"
"AOGO","10.84","10.84","04/01/2024 00:00:00","0.00","True","67"
"AOMR","10.34","18.90","02/08/2021 00:00:00","45.29","True","952"
"ANY","1.88","15,680.00","01/07/2014 00:00:00","99.99","True","3541"
"AONC","5.80","29.00","18/09/2023 00:00:00","80.00","True","175"
"ANTE","1.36","510.00","15/01/2008 00:00:00","99.73","True","5900"
"AONCW","0.29","0.29","08/03/2024 00:00:00","0.00","True","3"
"ANIK","25.45","73.36","25/10/2019 00:00:00","65.31","True","1599"
"AOUT","8.64","36.03","01/07/2021 00:00:00","76.01","True","984"
"ANIP","66.40","450.00","02/06/2000 00:00:00","85.24","True","8683"
"ANIX","3.25","242.19","13/06/1996 00:00:00","98.66","True","10133"
"AOD","8.17","43.62","11/05/2007 00:00:00","81.27","True","6149"
"APAC","8.32","12.90","23/01/2024 00:00:00","35.50","True","48"
"APACW","0.03","0.03","08/03/2024 00:00:00","0.00","True","3"
"AOSL","23.68","65.72","24/03/2022 00:00:00","63.96","True","718"
"ANSS","335.92","411.22","27/12/2021 00:00:00","18.31","True","805"
"APACU","10.00","12.55","19/01/2024 00:00:00","20.32","True","52"
"APCXW","0.57","0.57","08/03/2024 00:00:00","0.00","True","3"
"APCA","11.24","11.24","07/03/2024 00:00:00","0.04","True","4"
"APAM","44.66","71.75","22/01/2014 00:00:00","37.76","True","3701"
