Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACCS,ACCESS Newswire Inc. Common Stock,$10.88,-0.02,-0.183%,42092827.00,United States,,1738,Consumer Discretionary,Publishing
ACU,Acme United Corporation. Common Stock,$43.88,-0.48,-1.082%,166711178.00,United States,1988,6600,Consumer Discretionary,Industrial Machinery/Components
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,$6.22,0.03,0.485%,667794750.00,United States,,39266,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$0.725,-0.0381,-4.993%,8441745.00,United States,,73683,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$2.59,0.11,4.435%,7015502.00,,,71457,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIRI,Air Industries Group Common Stock,$3.20,0.02,0.629%,15270253.00,United States,,11975,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$4.50,-0.04,-0.881%,249434330.00,,,585,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$2.93,-0.29,-9.006%,8369182.00,China,,41829,Real Estate,Other Consumer Services
AMS,American Shared Hospital Services Common Stock,$2.50,-0.01,-0.398%,16275000.00,United States,1988,4158,Health Care,Medical Specialities
AMZE,Amaze Holdings Inc. Common Stock,$1.93,0.04,2.116%,12073349.00,,2021,35102,Consumer Staples,Beverages (Production/Distribution)
APT,Alpha Pro Tech Ltd. Common Stock,$4.89,0.0044,0.09%,51212491.00,Canada,2000,23688,Health Care,Industrial Specialties
APUS,Apimeds Pharmaceuticals US Inc. Common Stock,$1.834,-0.072,-3.778%,23064353.00,,2025,24909,Health Care,Biotechnology: Pharmaceutical Preparations
AREN,The Arena Group Holdings Inc. Common Stock,$5.90,-0.43,-6.793%,280047919.00,United States,2022,467477,Technology,EDP Services
ARMN,Aris Mining Corporation Common Shares,$9.22,0.04,0.436%,1866128000.00,,2023,1603153,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$2.82,-0.03,-1.053%,102168154.00,United States,,10950,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$4.28,0.03,0.706%,641428051.00,Canada,,4600797,Basic Materials,Metal Mining
ATCH,AtlasClear Holdings Inc. Common Stock,$0.205,-0.0017,-0.822%,3197376.00,,2024,3838265,Finance,Finance: Consumer Services
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$1.60,0.02,1.266%,49913426.00,United States,,124848,Health Care,Biotechnology: Pharmaceutical Preparations
AUST,Austin Gold Corp. Common Shares,$1.87,0.08,4.469%,24818173.00,,2022,243307,Basic Materials,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$2.40,-0.06,-2.439%,9358634.00,United States,1998,3036,Utilities,Environmental Services
AXIL,AXIL Brands Inc. Common Stock,$5.375,-0.1979,-3.551%,35785229.00,,2024,45733,Consumer Discretionary,Package Goods/Cosmetics
AZTR,Azitra Inc Common Stock,$0.7971,-0.0616,-7.174%,2809760.00,,2023,323709,Health Care,Biotechnology: Pharmaceutical Preparations
BATL,Battalion Oil Corporation Common Stock,$1.06,-0.03,-2.752%,17443957.00,United States,,206226,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$20.68,-0.10,-0.481%,0.00,United States,1972,7624,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$22.35,0.18,0.812%,,United States,,3191,,
BDL,Flanigan's Enterprises Inc. Common Stock,$28.74,-2.27,-7.32%,53417515.00,United States,1972,844,Consumer Discretionary,Restaurants
BGI,Birks Group Inc. Common Stock,$0.841,-0.018,-2.095%,16479132.00,Canada,,291224,Consumer Discretionary,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$32.12,0.04,0.125%,535854684.00,United States,1997,25296,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$12.7901,0.0101,0.079%,52070505.00,,2022,1786,Real Estate,Real Estate Investment Trusts
BKTI,BK Technologies Corporation Common Stock,$69.07,2.68,4.037%,257884172.00,United States,,56850,Technology,Radio And Television Broadcasting And Communications Equipment
BMNR,BitMine Immersion Technologies Inc. Common Stock,$43.79,1.75,4.163%,188444397.00,,2025,37578026,Finance,Finance: Consumer Services
BQ,Boqii Holding Limited Class A Ordinary Shares,$3.17,0.15,4.967%,3396750.00,,2025,61511,Consumer Discretionary,Other Specialty Stores
BRBS,Blue Ridge Bankshares Inc. Common Stock,$4.17,0.11,2.709%,384165249.00,United States,,325915,Finance,Major Banks
